nombre,correo,password,rol,fecha_registro
Emilia Guevara,wsuarez@example.net,$2b$12$/DwvJT1uktc4RqcCz2/wxe.IZIb5lwhpjKYdxxJRYO7x/BXqdB4cK,admin,2024-10-29
Luz Arias,suarezjose@example.org,$2b$12$Y15WVVdfO2IGd00/rA8mjeGd41sua0.Xy4ORhiVoY7/ciRRx7Ipvq,profesor,2024-01-25
Juan Toro Monroy,dianadiaz@example.net,$2b$12$wa3n0Pgqej59ca6TbsEgiOIZxn644.aQhQtoMLMSs7XP/gbe1JAcq,profesor,2025-03-30
Alejandro Ernesto Moreno,floramaya@example.com,$2b$12$OuhQrSYxVWSX2UxsiqAXYOwdXzBo7EPMUu.jiURK6kuaWYZMbe7Ta,admin,2023-10-18
María García,oruiz@example.net,$2b$12$kcMBgSV.bf3VS2JwMIEptOTb9Bz0OoXsUovFIcZz7RVtIgmWtasf2,estudiante,2025-06-01
María Jaimes,jennifer89@example.net,$2b$12$gEqCFKF/VQCAyXGG5Xu/lOK3FgjgEwH9qtxNnGFmD5bKMVcmmS1gG,acudiente,2024-07-10
Iván Ramiro Gómez Lozano,joserodriguez@example.org,$2b$12$OJ4a2T1H54ANNQIPAbsWzOUhnVCjBX1La2WUw/8J8aM2uHAwCqVuy,admin,2024-02-17
Luz Nelly Cardozo,samirescobar@example.net,$2b$12$kH4Qu.2yG3wy8ggZQ4YjK.0KNXUbOgSIZOod7w.XzS2tT5.u3F6xy,acudiente,2024-11-25
Brandon Juan Carvajal Pérez,nespinosa@example.org,$2b$12$fBZ7wUnt7W8vqW6snqClwOrZp9qGYOYWFy6ANQbPubE/Q6uvHA4sG,profesor,2024-12-12
Luz Fernanda Galvis Caballero,corredorferney@example.net,$2b$12$UVADSbleP6HBTj4W20q1w.zrY1ZErv6ESO1YTGR8xtX.NspbEnfOK,acudiente,2024-11-11
Carolina Castro,isabel20@example.com,$2b$12$dU0sC7HUmPJ5gh1.0rfrDOe.BdWPwUSCicUJKdoi7OJ8F4pKtdtDy,admin,2025-02-04
Elsa Claudia Moreno Rivera,sernaluis@example.net,$2b$12$9t49L3Dp/ECW7dP0N3chfuDMM6tSgq.G2XdbI2TuF1LX8qPBUVHiq,acudiente,2024-11-28
Nelcy Rocío Jaimes,luz07@example.net,$2b$12$8V1lqJOJMOeDwIZJh26lp.CMukb.bNTVBq.Svovel6PnFAf/vwjAS,acudiente,2025-03-24
José José Valencia,sanchezsandra@example.org,$2b$12$ss8Z.usE4Q778NLJLRMynexpVnbyVe.8opi1CVAclAbkFpfURyT.6,acudiente,2025-06-14
José Montes,vruiz@example.org,$2b$12$X/6C.V1JQq5aRtWIDL25K.yN7ZMoTshpuLSvkOrACQjA5NmLGkBdO,acudiente,2024-09-04
Carlos Palacio,fernandezalveiro@example.com,$2b$12$7HyLr6VHKKzoiSTzCqid6epXPl2pNiAjVGHTwmtQG2AIP8ByZsejm,profesor,2024-07-16
Sebastián Restrepo,narvaezpatricia@example.net,$2b$12$XOo88N1onInyv31yIg9.auuEZmU.yIKV0BHSKQ3rlt6r0x8phxpyS,profesor,2023-11-24
Omar Aníbal Soto Jiménez,rojasmargoth@example.com,$2b$12$DVjKB7PlCqiqdEhs9i6fouU7JDMlJIUvw93I5QaJ8Q98uWq4OJhkK,acudiente,2025-04-28
Geraldine Ramírez,llopez@example.org,$2b$12$42PSIGbGOTFvJi53iQgrgeEEfOXf0pNYExr/8PG1Z0klwI6Y558bm,admin,2024-11-21
Rosa García Perdomo,bvanegas@example.org,$2b$12$391bmo3cuyiH6xnfjQYShu0AvB6G7xNY1kavze1rrB4.CG0daQGZW,estudiante,2025-09-12
Mercedes Elena García Vergara,rodriguezdiana@example.com,$2b$12$9kIYy5wOzoQU1Kh3B6wdcuU0G.bboPtiWe/C3UZeKIHra3uxSkg/W,admin,2023-10-27
Eugenia Karina Guerrero Velásquez,tcastrillon@example.net,$2b$12$JTJdS8vqxl.gVsGAGx78COkbyBXKathv94r4UcgACRYWFD6KJ9LZi,admin,2023-10-27
Diego Herrera,rocioalvarez@example.org,$2b$12$2UEqTWxwDOQJVKn04Q3i2ORgo91xs9Bz5ZW.GRwGX7D9wyOYzqLIC,admin,2024-01-19
Martha Camila Romero Restrepo,renteriajenny@example.org,$2b$12$Zo2N9qS0B4JQk4QJCkyD2eJj/0WXnE97cg5d7PfG/lUjegZowRCbi,estudiante,2023-12-16
Martha Dayana Valencia Perdomo,portega@example.org,$2b$12$EoVxkz3SbRDQlr4OPFoga.8gbWdolP6PclAzpvJ2VE4ExDw8WCTJi,profesor,2025-09-11
José Óscar Ibarra,luisamonsalve@example.com,$2b$12$wSZgGfxoxI5324bzg2babe3.lutVRwIDAokPl.mQ0BnGvINXUMhgS,admin,2025-08-28
Iván Jaimes Garzón,tamayoluis@example.net,$2b$12$bQ5s0wIkbQoE7lHSpP9a3uNeeDxreCccYM/f7jkqA8jiKQ1HCaA6S,acudiente,2023-12-19
Juan Ojeda,mariamosquera@example.com,$2b$12$5lSyEUcKpWcSHjXupdjE6OIRdAGQpiuMPJuF0.adMq.ObE1uorz3q,estudiante,2023-10-03
Francisco Saavedra Posada,gloriaramirez@example.com,$2b$12$r8PekYPHbhMhnK4BX6J/ju2zf3O4D50WhcFMLHPoGKNyorIBef8bW,admin,2024-08-17
Rosa Karen García,jmartinez@example.net,$2b$12$p0HU1f0AH2FqKSVXI0KFqOI58jAUlqPr7P8TbKiD4vB.ldUJy.GUy,estudiante,2024-08-31
Andrea María Delgado Aguirre,ecarrillo@example.org,$2b$12$GLSx4REo/acUWnVgpdyQHOqGsi/eE66bDDDgiQbsrjEeFVBZkz//2,admin,2025-05-24
Juan Rojas Bastidas,alexander71@example.com,$2b$12$esKUpmpLmfnIco4Gl.TKPuQldi3xqifBLfFMENIaRx7B8.pLpgyw6,admin,2024-09-27
Antonio Cabrera,bcastaneda@example.org,$2b$12$M.bM2fgGp21w.Ti/3qGi6u8VigZ4n5nnyeeY2zFeCD0rXfxGP4tU2,acudiente,2024-07-26
Javier Fabio Ruiz Henao,duranalejandra@example.com,$2b$12$xy5OcMw.bXq.LTzbnrWSTe94QuDCuq/epU1bfgTgnNIOBBi/DJokW,estudiante,2025-03-26
Rafael Vega Díaz,foreronelly@example.net,$2b$12$xyaK0mre8Xe4Rtej.aCz1.qkxDVbFneOeahmnhZg1SatdCW1yUUbq,estudiante,2025-04-27
Carmen Villamizar,maria06@example.com,$2b$12$a9Zm14hIF4XBXVM2S.pLxOc7K7W7r5bBPyKLqx6f74HH7stYxLAIW,profesor,2025-01-24
Luis José Ramírez,fernandocuesta@example.net,$2b$12$zaGBL03.CeWLGw6yCj9Xtu71WVUsdttZvs6Gi1YCCzNn0RepP4lDy,profesor,2024-06-06
María Jiménez,jbuitrago@example.com,$2b$12$TNh2XrIgmlXf7JXHcgjEDu8kywVpw.ycqpDIm1jfnTWwNnWCCF8gm,acudiente,2025-02-01
Efrén Alexander Pérez,mcarvajal@example.org,$2b$12$NMPzK9IjKSUEKhJnobGSPuzjPgLLvZzZbz./6HxUCZXoOt0NzNJc.,admin,2024-08-26
Jairo Suárez Acosta,andres12@example.net,$2b$12$jI0oRUQVEYS5KSYJDVIbmuCzuICqzhVeK8h/HBRY7oUN6D.TXAedy,admin,2024-07-31
Jhon Juan Sierra Ramírez,valvarez@example.org,$2b$12$egDvcizpWINrM2aVQX8nZexLpDB6rpV6YsrqYSICjqFfasqVfcOFK,profesor,2023-10-16
Lucía Inés García,jorgecaicedo@example.org,$2b$12$EmrtJAV8sbcOWHsL5TPHbO3uYZHA.hGIKKuDAiRcg0mKYsTNHXi4G,admin,2024-12-25
Cecilia Rojas,bermudezlaura@example.org,$2b$12$BogFKkeNhxTqjMIsQMRSpuKajhjGaQMHAuj9d3o/UPv/j.0Rr6tAm,admin,2025-01-05
Harold Francisco Delgado,patricia85@example.com,$2b$12$r2cYIrVKxcBpQ7qTuIYnZOaYP1o7Bf2.E7QwDysGQzG6JpO5rr2MS,profesor,2025-04-19
Román Jesús Castillo Ortiz,torresalfredo@example.net,$2b$12$f0LmnuSoS4BsFKJBGGJxDOudMw84soNYrVlueGnzXAr66IHdgTury,estudiante,2025-03-14
Jairo Manuel Velandia Bedoya,jorge45@example.com,$2b$12$Air9MvF1ZtOktkoLmzkPw.bNugUUeHYNXJoRI6HYA3J4R3z4cIRya,acudiente,2025-01-10
César José Escobar Guevara,dianaserrano@example.com,$2b$12$zGEAXtHDz3/ym1T4.3HUm.B6J9JfW69pcfhlIYsRf0YEtjc2klTvy,estudiante,2025-04-05
